==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	12   	
Minute      	10   	
Second      	29   	
Millisecond 	53   	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
238461.538461538	1.01607253333423e-13
240384.615384615	4.4410964213719e-14
242307.692307692	2.54669172914509e-14
244230.769230769	1.72276246644994e-14
246153.846153846	1.45192723984964e-14
248076.923076923	1.49860147488524e-14
250000	1.37324805119409e-14
251923.076923077	1.64729145354654e-14
253846.153846154	2.70512866042855e-14
255769.230769231	3.50616315234547e-14
257692.307692308	4.18657126651122e-14
259615.384615385	4.80319559081826e-14
261538.461538462	4.26972946567714e-14
263461.538461538	3.49222144224828e-14
265384.615384615	2.9872731219428e-14
267307.692307692	2.68961465175499e-14
269230.769230769	2.53184172271894e-14
271153.846153846	2.24762053035505e-14
273076.923076923	1.74167174771958e-14
275000	1.30847402179652e-14
276923.076923077	8.47978170833305e-15
278846.153846154	6.28485269982684e-15
280769.230769231	6.2315760405123e-15
282692.307692308	7.14386478691468e-15
284615.384615385	8.78636052573344e-15
286538.461538462	9.94594016006314e-15
288461.538461538	9.62509033319487e-15
290384.615384615	8.46933066176598e-15
292307.692307692	1.04512897883348e-14
294230.769230769	1.78799751677514e-14
296153.846153846	2.37107527305736e-14
298076.923076923	2.06729519303548e-14
300000	2.11855703101009e-14
301923.076923077	2.03749616611012e-14
303846.153846154	2.00120661423019e-14
305769.230769231	1.8273094564438e-14
307692.307692308	1.00182754239443e-14
309615.384615385	8.29506322573883e-15
311538.461538462	7.84378027805316e-15
313461.538461538	7.32269315016008e-15
315384.615384615	7.08741382543339e-15
317307.692307692	7.97116087828869e-15
319230.769230769	1.04695005201241e-14
321153.846153846	1.18288527457674e-14
323076.923076923	1.37684969941895e-14
325000	1.87308437470621e-14
326923.076923077	2.39294780563302e-14
328846.153846154	2.24778242342176e-14
330769.230769231	1.62580989205685e-14
332692.307692308	1.29314524378301e-14
334615.384615385	1.21878711691598e-14
336538.461538462	1.28032408166379e-14
338461.538461538	1.17823553080183e-14
340384.615384615	1.03923188222736e-14
342307.692307692	8.43636504251052e-15
344230.769230769	7.09309361647384e-15
346153.846153846	8.29024122584555e-15
348076.923076923	9.5837361696462e-15
350000	9.15680994237757e-15
351923.076923077	1.03296331557947e-14
353846.153846154	1.26144551855479e-14
355769.230769231	1.11155838716263e-14
357692.307692308	1.10632575958309e-14
359615.384615385	1.2365253717724e-14
361538.461538462	1.37149292457601e-14
363461.538461538	1.78451436587378e-14
365384.615384615	2.51826806270981e-14
367307.692307692	3.78076576200507e-14
369230.769230769	9.79426042715598e-14
371153.846153846	2.05377885821146e-13
373076.923076923	1.2721855079304e-13
375000	3.70971706854271e-14
376923.076923077	2.58505935017137e-14
378846.153846154	2.97809827015007e-14
380769.230769231	3.93014605151428e-14
382692.307692308	1.64239944172796e-13
384615.384615385	8.25868356198376e-13
