==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	12   	
Minute      	4    	
Second      	36   	
Millisecond 	405  	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
73076.9230769231	5.76893574252666e-14
75000	6.47973552136368e-14
76923.0769230769	6.62771925376796e-14
78846.1538461538	6.21198947668364e-14
80769.2307692308	5.48752284466905e-14
82692.3076923077	6.44074077257751e-14
84615.3846153846	7.34789844704215e-14
86538.4615384615	7.89065963151269e-14
88461.5384615385	1.02522938026185e-13
90384.6153846154	1.14225329393424e-13
92307.6923076923	8.5412737728479e-14
94230.7692307692	8.19066016423447e-14
96153.8461538462	1.48070975871874e-13
98076.9230769231	6.11847925825131e-13
100000	8.66903999829619e-13
101923.076923077	3.57859024347651e-13
103846.153846154	1.48027542007758e-13
105769.230769231	1.35488785326044e-13
107692.307692308	1.31759448165905e-13
109615.384615385	1.05811245941175e-13
111538.461538462	9.2380165043653e-14
113461.538461538	1.05795075433461e-13
115384.615384615	1.59200432349867e-13
117307.692307692	2.86207210566237e-13
119230.769230769	3.99738182229553e-13
121153.846153846	4.09303596921789e-13
123076.923076923	3.62029801510744e-13
125000	2.34699357290909e-13
126923.076923077	1.49515142510901e-13
128846.153846154	1.34786555320385e-13
130769.230769231	1.55548221453319e-13
132692.307692308	1.4278545125782e-13
134615.384615385	1.05843036556503e-13
136538.461538462	9.5708147897209e-14
138461.538461538	1.06322351012243e-13
140384.615384615	1.02269483285425e-13
142307.692307692	8.79076068468537e-14
144230.769230769	7.69900225265567e-14
146153.846153846	7.01045365699516e-14
148076.923076923	7.38895785381172e-14
150000	9.24425043855478e-14
151923.076923077	1.11019818029519e-13
153846.153846154	9.60220627292985e-14
155769.230769231	6.56442859147354e-14
157692.307692308	6.14517218418857e-14
159615.384615385	6.23747938401836e-14
161538.461538462	5.41484954172398e-14
163461.538461538	5.62115498849427e-14
165384.615384615	6.36139728530403e-14
167307.692307692	5.78095760995299e-14
169230.769230769	6.41773399524328e-14
171153.846153846	7.28883638501388e-14
173076.923076923	7.6384597903443e-14
175000	7.78458786088642e-14
176923.076923077	1.36026101654107e-13
178846.153846154	4.63525767324902e-13
180769.230769231	6.57154766113995e-13
182692.307692308	3.76176499707861e-13
184615.384615385	3.39716592056093e-13
186538.461538462	3.96517443124728e-13
188461.538461538	6.59867524564948e-13
190384.615384615	3.77819626048811e-13
192307.692307692	1.09619037579685e-13
194230.769230769	6.74192147492994e-14
196153.846153846	6.7191961627915e-14
198076.923076923	6.60758399498026e-14
200000	7.29408813729428e-14
201923.076923077	7.33640615201156e-14
203846.153846154	5.78986076350632e-14
205769.230769231	5.37730153619606e-14
207692.307692308	7.41179969606687e-14
209615.384615385	9.48046855143729e-14
211538.461538462	9.92694838636069e-14
213461.538461538	1.16502382482267e-13
215384.615384615	1.4456052327257e-13
217307.692307692	2.2779581669175e-13
219230.769230769	4.86124211668591e-13
221153.846153846	1.05031938028057e-12
223076.923076923	1.46161874760157e-12
225000	1.19493848625805e-12
226923.076923077	8.67102001891821e-13
228846.153846154	8.67293954740868e-13
230769.230769231	1.1596556251976e-12
232692.307692308	1.48729501977456e-12
234615.384615385	1.9012335081576e-12
236538.461538462	1.62748157753213e-12
238461.538461538	7.94881514217562e-13
240384.615384615	3.3407651435466e-13
242307.692307692	1.84536821850473e-13
244230.769230769	1.20666291759884e-13
246153.846153846	9.35953430445036e-14
248076.923076923	8.5108833544125e-14
250000	8.3631015263371e-14
251923.076923077	1.12851290355606e-13
253846.153846154	1.94035404312344e-13
255769.230769231	2.52149074015066e-13
257692.307692308	2.99873535030689e-13
259615.384615385	3.44992190041299e-13
261538.461538462	3.03889095753877e-13
263461.538461538	2.48558132335588e-13
265384.615384615	2.13896797912444e-13
267307.692307692	1.90638735891689e-13
269230.769230769	1.76956734104813e-13
271153.846153846	1.55398275846349e-13
273076.923076923	1.1765787506914e-13
275000	8.69544184642107e-14
276923.076923077	5.28780300136379e-14
278846.153846154	3.68493143402451e-14
280769.230769231	3.66594214175985e-14
282692.307692308	4.34804963470953e-14
284615.384615385	5.66583767727539e-14
286538.461538462	6.56034755083413e-14
288461.538461538	6.30918947613841e-14
290384.615384615	5.45722118091347e-14
292307.692307692	6.92221890767418e-14
294230.769230769	1.13778125721157e-13
296153.846153846	1.15689849479206e-13
298076.923076923	8.94402528851176e-14
300000	9.30556278607259e-14
301923.076923077	8.91386158208086e-14
303846.153846154	8.21219969729298e-14
305769.230769231	7.45219496908225e-14
307692.307692308	5.34894266561684e-14
309615.384615385	5.1003671378969e-14
311538.461538462	4.96785362575882e-14
313461.538461538	4.65885052292779e-14
315384.615384615	4.3809573904895e-14
317307.692307692	4.98896580248885e-14
319230.769230769	6.92779065347629e-14
321153.846153846	8.08491473308109e-14
323076.923076923	9.69422352937832e-14
325000	1.3795129048386e-13
326923.076923077	1.78288182221764e-13
328846.153846154	1.62321860787411e-13
330769.230769231	1.13045345105392e-13
332692.307692308	8.83918388655466e-14
334615.384615385	8.36327782903376e-14
336538.461538462	8.78626791448398e-14
338461.538461538	7.84692261684678e-14
340384.615384615	6.76655400225814e-14
342307.692307692	5.37030624621188e-14
344230.769230769	4.37854145872616e-14
346153.846153846	5.31705186805203e-14
348076.923076923	6.37090336600663e-14
350000	5.98699620464669e-14
351923.076923077	6.75183012924654e-14
353846.153846154	8.44026371905062e-14
355769.230769231	7.39338550519112e-14
357692.307692308	7.48808642198887e-14
359615.384615385	8.38298836141931e-14
